roll,name,Compilation,Execution,Output,Correctness,Compilation Time
1,Day2,true,false,true,true,34.55742
2,Roxine,true,false,true,false,92.60644
3,Austina,false,true,false,false,82.39186
4,Artus,false,true,false,false,24.62692
5,Stevana,false,false,false,true,3.40224
6,Tiff,false,false,true,false,3.31273
7,Etta,false,true,false,false,69.36708
8,Johan,true,false,false,false,17.83886
9,Falkner,false,false,true,true,98.42783
10,Sammy,true,false,true,false,13.72087
11,Correy,false,true,false,false,41.58538
12,Miller,false,false,false,false,48.4383
13,Adrian,false,false,true,true,44.71481
14,Zach,false,true,true,false,65.07034
15,Hobey,false,true,false,false,8.64381
16,Danette,true,false,false,false,65.55796
17,Aretha,false,true,true,false,79.61618
18,Cale,false,false,false,false,72.4553
19,Brendis,true,false,true,false,39.12372
20,Newton,true,false,false,true,53.03453
21,Natal,false,false,false,false,77.29056
22,Mela,true,false,false,false,28.4598
23,Martina,true,false,true,false,68.26889
24,Gaby,true,false,true,true,25.86458
25,Rana,true,true,true,false,87.08917
26,Ezechiel,true,true,false,true,20.26512
27,Vince,true,false,true,false,54.2977
28,Stanleigh,true,false,true,false,32.1198
29,Basia,false,true,true,false,51.1708
30,Obadias,true,false,true,false,41.1975
31,Courtney,true,true,false,true,26.21792
32,Royce,true,true,true,false,38.18158
33,Elisabetta,false,true,true,true,19.89103
34,Westley,false,true,true,true,19.66955
35,Ludvig,false,true,true,false,61.48427
36,Livia,true,false,false,false,5.13752
37,Adriane,true,true,false,true,16.82538
38,Star,true,true,true,true,76.45632
39,Leila,true,true,false,false,96.48492
40,Paulina,true,true,false,true,3.89804
41,Jacynth,false,true,true,false,7.50561
42,Mano,false,false,true,false,77.15124
43,Nettle,false,false,true,true,48.52846
44,Joeann,true,true,false,true,20.40624
45,Thorpe,false,true,true,false,84.95308
46,Rania,false,false,false,true,42.22986
47,Veronica,true,true,true,false,76.68879
48,Ingmar,true,false,false,false,63.74001
49,Liana,true,false,true,true,42.40642
50,Wolfgang,true,false,false,true,52.76984
